No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
77,2013,3,4,4,7.0,13.0,3.0,10.0,300.0,80.0,4.8,1014.6,-12.2,0.0,7,2.6,0
78,2013,3,4,5,3.0,14.0,31.0,46.0,600.0,38.0,5.4,1015.4,-12.1,0.0,7,4.7,0
79,2013,3,4,6,10.0,24.0,43.0,43.0,500.0,39.0,4.2,1016.1,-12.3,0.0,3,3.0,0
80,2013,3,4,7,12.0,28.0,38.0,38.0,700.0,42.0,6.3,1016.8,-12.3,0.0,3,0.8,0
81,2013,3,4,8,12.0,32.0,29.0,34.0,700.0,48.0,8.9,1017.4,-12.9,0.0,1,1.6,0
82,2013,3,4,9,16.0,29.0,21.0,19.0,500.0,65.0,10.2,1017.6,-13.8,0.0,7,3.8,0
83,2013,3,4,10,14.0,23.0,16.0,12.0,400.0,76.0,11.4,1017.1,-14.4,0.0,6,4.2,0
84,2013,3,4,11,7.0,16.0,7.0,11.0,400.0,80.0,12.7,1016.6,-15.1,0.0,6,4.4,0
85,2013,3,4,12,8.0,22.0,6.0,9.0,400.0,85.0,14.6,1015.4,-14.6,0.0,6,3.5,0
86,2013,3,4,13,14.0,16.0,7.0,9.0,400.0,89.0,15.1,1014.2,-15.2,0.0,6,3.4,0
87,2013,3,4,14,11.0,13.0,14.0,11.0,400.0,91.0,16.1,1013.1,-16.9,0.0,7,3.0,0
88,2013,3,4,15,21.0,24.0,11.0,10.0,400.0,95.0,16.1,1012.5,-16.9,0.0,7,2.3,0
89,2013,3,4,16,10.0,17.0,10.0,12.0,400.0,92.0,14.8,1012.0,-14.4,0.0,11,3.3,0
90,2013,3,4,17,13.0,15.0,8.0,21.0,400.0,86.0,12.9,1012.4,-14.0,0.0,11,2.6,0
91,2013,3,4,18,17.0,29.0,14.0,40.0,500.0,81.0,11.3,1012.7,-13.7,0.0,11,1.2,0
92,2013,3,4,19,32.0,54.0,39.0,63.0,700.0,57.0,8.7,1013.2,-12.5,0.0,1,0.5,0
93,2013,3,4,20,43.0,71.0,66.0,91.0,1100.0,25.0,5.9,1013.4,-11.7,0.0,1,0.2,0
94,2013,3,4,21,64.0,99.0,41.0,88.0,1500.0,18.0,4.9,1013.4,-11.7,0.0,2,0.8,0
95,2013,3,4,22,76.0,123.0,25.0,57.0,1100.0,34.0,4.0,1013.2,-11.6,0.0,0,0.6,0
96,2013,3,4,23,54.0,75.0,21.0,43.0,1200.0,95.0,4.2,1012.6,-11.5,0.0,2,0.8,0
97,2013,3,5,0,57.0,69.0,20.0,37.0,900.0,95.0,2.8,1012.1,-11.2,0.0,1,0.4,0
98,2013,3,5,1,48.0,57.0,38.0,66.0,1600.0,95.0,1.8,1011.7,-11.0,0.0,5,0.6,0
99,2013,3,5,2,65.0,99.0,32.0,54.0,1399.0,95.0,0.8,1011.4,-10.7,0.0,3,0.6,0
100,2013,3,5,3,60.0,75.0,20.0,36.0,1100.0,95.0,0.2,1011.0,-10.4,0.0,3,0.2,0
101,2013,3,5,4,46.0,54.0,40.0,75.0,2299.0,95.0,-0.1,1010.7,-10.1,0.0,3,0.8,0
102,2013,3,5,5,72.0,113.0,33.0,61.0,1600.0,95.0,-0.4,1010.9,-9.6,0.0,5,0.0,0
103,2013,3,5,6,56.0,78.0,31.0,53.0,1100.0,95.0,-1.0,1010.6,-9.4,0.0,4,0.8,0
104,2013,3,5,7,51.0,66.0,34.0,69.0,2000.0,95.0,1.2,1010.4,-9.4,0.0,4,0.0,0
105,2013,3,5,8,68.0,105.0,40.0,66.0,1600.0,95.0,6.0,1010.1,-10.7,0.0,12,0.8,0
106,2013,3,5,9,68.0,92.0,64.0,75.0,1899.0,95.0,7.8,1009.5,-10.6,0.0,12,1.0,0
107,2013,3,5,10,87.0,117.0,81.0,92.0,2000.0,95.0,9.3,1008.7,-9.3,0.0,2,1.4,0
108,2013,3,5,11,107.0,160.0,66.0,80.0,1500.0,95.0,11.0,1007.8,-9.4,0.0,12,1.9,0
109,2013,3,5,12,109.0,139.0,52.0,65.0,1399.0,55.0,12.1,1006.5,-9.0,0.0,1,0.4,0
110,2013,3,5,13,118.0,133.0,56.0,55.0,1300.0,95.0,13.2,1005.1,-8.1,0.0,11,0.9,0
111,2013,3,5,14,126.0,127.0,57.0,60.0,1300.0,95.0,14.1,1004.3,-8.6,0.0,9,1.7,0
112,2013,3,5,15,124.0,129.0,62.0,76.0,1500.0,92.0,13.5,1004.1,-8.4,0.0,9,0.8,0
113,2013,3,5,16,149.0,153.0,59.0,81.0,1500.0,86.0,13.3,1003.9,-8.0,0.0,2,1.1,0
114,2013,3,5,17,151.0,158.0,74.0,104.0,1600.0,81.0,12.4,1004.5,-8.2,0.0,2,1.0,0
115,2013,3,5,18,158.0,168.0,64.0,106.0,1700.0,81.0,8.9,1005.0,-7.8,0.0,4,0.8,0
116,2013,3,5,19,161.0,172.0,69.0,123.0,1899.0,81.0,7.7,1005.4,-7.6,0.0,5,0.2,0
117,2013,3,5,20,173.0,187.0,68.0,127.0,2299.0,81.0,6.3,1005.9,-7.3,0.0,5,0.7,0
118,2013,3,5,21,191.0,210.0,55.0,94.0,2100.0,81.0,5.6,1006.0,-7.3,0.0,5,0.2,0
119,2013,3,5,22,181.0,183.0,52.0,78.0,1899.0,81.0,4.9,1005.8,-7.0,0.0,3,1.7,0
120,2013,3,5,23,141.0,160.0,50.0,74.0,1899.0,81.0,3.7,1005.7,-6.9,0.0,4,0.4,0
121,2013,3,6,0,152.0,154.0,65.0,115.0,2700.0,81.0,3.9,1005.4,-6.7,0.0,3,2.0,0
122,2013,3,6,1,180.0,195.0,52.0,72.0,2000.0,81.0,3.9,1005.3,-6.4,0.0,4,0.8,0
123,2013,3,6,2,146.0,153.0,7.0,100.0,2399.0,81.0,3.5,1004.8,-6.5,0.0,3,0.7,0
124,2013,3,6,3,170.0,179.0,55.0,74.0,800.0,81.0,3.7,1004.7,-6.3,0.0,3,1.3,0
125,2013,3,6,4,149.0,155.0,59.0,36.0,2500.0,81.0,2.4,1004.7,-6.2,0.0,3,1.0,0
126,2013,3,6,5,182.0,202.0,79.0,101.0,2500.0,81.0,2.1,1004.9,-5.8,0.0,3,0.9,0
127,2013,3,6,6,182.0,187.0,86.0,94.0,2399.0,81.0,3.1,1005.1,-5.6,0.0,3,0.2,0
128,2013,3,6,7,187.0,190.0,82.0,93.0,2700.0,81.0,4.7,1006.2,-4.9,0.0,2,0.6,0
129,2013,3,6,8,195.0,200.0,86.0,85.0,2299.0,81.0,5.5,1006.2,-4.1,0.0,12,0.5,0
130,2013,3,6,9,193.0,200.0,81.0,86.0,2799.0,81.0,7.2,1006.1,-5.5,0.0,13,0.5,0
131,2013,3,6,10,200.0,219.0,109.0,114.0,3600.0,81.0,8.8,1005.8,-5.5,0.0,6,0.7,0
132,2013,3,6,11,239.0,280.0,123.0,126.0,3700.0,81.0,10.6,1004.6,-5.0,0.0,3,0.9,0
133,2013,3,6,12,271.0,324.0,142.0,142.0,3799.0,81.0,12.4,1003.4,-4.7,0.0,7,0.8,0
134,2013,3,6,13,281.0,315.0,118.0,135.0,3399.0,81.0,13.4,1002.5,-4.3,0.0,9,1.2,0
135,2013,3,6,14,263.0,284.0,121.0,152.0,3600.0,81.0,13.6,1001.8,-4.1,0.0,8,2.3,0
136,2013,3,6,15,293.0,347.0,118.0,160.0,3299.0,81.0,13.6,1001.9,-3.7,0.0,2,2.2,0
137,2013,3,6,16,302.0,352.0,112.0,158.0,3100.0,66.0,13.3,1002.2,-3.9,0.0,2,1.6,0
138,2013,3,6,17,312.0,342.0,107.0,141.0,2700.0,60.0,12.0,1002.7,-3.8,0.0,9,1.3,0
139,2013,3,6,18,280.0,300.0,110.0,135.0,2600.0,39.0,10.6,1003.7,-3.9,0.0,11,1.2,0
140,2013,3,6,19,265.0,281.0,104.0,137.0,2700.0,37.0,7.1,1004.5,-3.5,0.0,6,1.4,0
141,2013,3,6,20,268.0,285.0,107.0,136.0,3299.0,37.0,6.2,1004.9,-3.5,0.0,9,0.7,0
142,2013,3,6,21,272.0,281.0,136.0,156.0,4799.0,37.0,5.5,1004.5,-3.6,0.0,1,0.6,0
143,2013,3,6,22,339.0,394.0,118.0,148.0,5500.0,35.0,4.7,1004.3,-3.6,0.0,0,0.7,0
144,2013,3,6,23,326.0,360.0,113.0,140.0,4500.0,30.0,4.5,1004.1,-3.3,0.0,8,0.9,0
145,2013,3,7,0,282.0,287.0,98.0,131.0,3899.0,30.0,5.3,1004.2,-3.3,0.0,1,0.7,0
146,2013,3,7,1,206.0,249.0,77.0,117.0,3399.0,22.0,6.2,1004.2,-3.2,0.0,0,1.4,0
147,2013,3,7,2,227.0,228.0,80.0,111.0,3000.0,22.0,3.0,1003.8,-3.8,0.0,12,0.5,0
148,2013,3,7,3,208.0,211.0,72.0,105.0,2899.0,22.0,1.4,1003.6,-4.3,0.0,12,1.0,0
149,2013,3,7,4,198.0,200.0,73.0,110.0,3700.0,22.0,1.3,1003.5,-5.0,0.0,14,1.8,0
150,2013,3,7,5,201.0,215.0,67.0,108.0,4700.0,22.0,1.0,1003.7,-5.3,0.0,5,1.5,0
151,2013,3,7,6,202.0,234.0,72.0,102.0,4400.0,22.0,0.2,1003.6,-5.4,0.0,5,1.0,0
152,2013,3,7,7,175.0,206.0,65.0,95.0,4400.0,22.0,4.9,1003.6,-4.4,0.0,3,0.1,0
153,2013,3,7,8,143.0,180.0,114.0,96.0,5099.0,22.0,7.0,1003.4,-3.6,0.0,11,1.4,0
154,2013,3,7,9,140.0,200.0,92.0,114.0,4599.0,22.0,8.9,1003.2,-3.7,0.0,10,1.0,0
155,2013,3,7,10,169.0,240.0,138.0,150.0,4200.0,22.0,12.5,1002.1,-5.5,0.0,9,1.1,0
156,2013,3,7,11,225.0,309.0,100.0,111.0,2299.0,22.0,15.0,1000.3,-4.9,0.0,9,0.8,0
157,2013,3,7,12,174.0,183.0,58.0,62.0,1300.0,41.0,16.3,998.4,-4.3,0.0,2,1.5,0
158,2013,3,7,13,71.0,82.0,46.0,53.0,1100.0,65.0,17.3,996.7,-4.1,0.0,11,1.4,0
159,2013,3,7,14,83.0,88.0,53.0,98.0,1600.0,65.0,16.6,995.5,-3.5,0.0,2,1.2,0
160,2013,3,7,15,137.0,133.0,73.0,177.0,2500.0,65.0,16.8,994.7,-3.4,0.0,1,1.0,0
161,2013,3,7,16,207.0,230.0,81.0,186.0,2899.0,65.0,16.6,994.1,-3.5,0.0,1,0.8,0
162,2013,3,7,17,258.0,285.0,80.0,163.0,2799.0,65.0,14.5,993.9,-3.3,0.0,4,0.7,0
163,2013,3,7,18,264.0,298.0,77.0,141.0,2500.0,65.0,12.5,994.5,-3.4,0.0,3,0.5,0
164,2013,3,7,19,241.0,247.0,105.0,191.0,3200.0,21.0,11.8,994.7,-3.2,0.0,1,0.8,0
165,2013,3,7,20,256.0,286.0,98.0,199.0,3399.0,65.0,9.8,994.6,-2.8,0.0,6,0.6,0
166,2013,3,7,21,262.0,282.0,96.0,171.0,3000.0,65.0,7.9,995.1,-3.0,0.0,5,1.2,0
167,2013,3,7,22,238.0,241.0,82.0,166.0,3799.0,65.0,8.1,995.1,-3.4,0.0,1,0.9,0
168,2013,3,7,23,249.0,261.0,70.0,145.0,3500.0,65.0,6.8,995.0,-3.2,0.0,4,1.3,0
169,2013,3,8,0,224.0,238.0,60.0,132.0,3200.0,65.0,5.9,995.3,-3.0,0.0,4,0.0,0
170,2013,3,8,1,216.0,227.0,68.0,140.0,5299.0,65.0,4.4,995.6,-3.2,0.0,0,0.8,0
171,2013,3,8,2,263.0,292.0,71.0,141.0,6299.0,65.0,4.0,995.2,-3.5,0.0,1,0.6,0
172,2013,3,8,3,290.0,328.0,68.0,131.0,5000.0,65.0,4.5,994.7,-3.1,0.0,9,1.4,0
173,2013,3,8,4,257.0,273.0,63.0,125.0,4700.0,65.0,16.7,994.9,-5.8,0.0,7,5.2,0
174,2013,3,8,5,233.0,235.0,57.0,105.0,3299.0,65.0,15.4,995.6,-6.2,0.0,9,0.7,0
175,2013,3,8,6,193.0,211.0,30.0,36.0,700.0,65.0,12.7,996.2,-5.4,0.0,2,1.7,0
176,2013,3,8,7,72.0,135.0,44.0,85.0,1500.0,65.0,14.9,996.7,-5.5,0.0,4,1.3,0
177,2013,3,8,8,79.0,159.0,46.0,84.0,1700.0,65.0,11.2,997.8,-4.1,0.0,2,1.7,0
178,2013,3,8,9,85.0,182.0,66.0,87.0,2399.0,65.0,14.5,997.9,-2.9,0.0,11,1.7,0
179,2013,3,8,10,180.0,257.0,59.4048,94.0274,800.0,65.0,17.3,997.3,-3.5,0.0,9,1.4,0
180,2013,3,8,11,207.0,264.0,63.0,96.0,2200.0,65.0,19.3,996.7,-3.6,0.0,2,2.1,0
181,2013,3,8,12,179.0,222.0,43.0,76.0,1700.0,67.0,20.6,995.8,-3.9,0.0,2,2.5,0
182,2013,3,8,13,153.0,202.0,37.0,75.0,1500.0,77.0,21.9,994.7,-4.3,0.0,9,3.0,0
183,2013,3,8,14,159.0,244.0,40.0,88.0,1600.0,86.0,17.6,995.0,1.5,0.0,2,4.5,0
184,2013,3,8,15,443.0,653.0,80.0,141.0,4500.0,107.0,14.8,996.1,0.2,0.0,8,2.5,0
185,2013,3,8,16,289.0,438.0,83.0,86.0,2899.0,107.0,13.1,996.5,-0.2,0.0,2,4.0,0
186,2013,3,8,17,173.0,252.0,73.0,65.0,1899.0,107.0,11.7,996.5,-0.5,0.0,9,3.4,0
187,2013,3,8,18,141.0,213.0,69.0,65.0,1500.0,107.0,10.4,997.4,-1.0,0.0,9,2.7,0
188,2013,3,8,19,112.0,182.0,58.0,62.0,1399.0,107.0,9.4,997.3,-0.8,0.0,2,2.7,0
189,2013,3,8,20,113.0,158.0,63.0,67.0,1300.0,107.0,8.6,997.1,-1.5,0.0,2,2.8,0
190,2013,3,8,21,117.0,138.0,62.0,69.0,1100.0,107.0,7.6,996.9,-2.4,0.0,2,1.8,0
191,2013,3,8,22,99.0,118.0,50.0,59.0,1300.0,107.0,6.8,996.0,-3.2,0.0,2,1.3,0
192,2013,3,8,23,100.0,132.0,50.0,63.0,1600.0,107.0,5.6,994.5,-3.0,0.0,2,0.7,0
193,2013,3,9,0,100.0,133.0,56.0,65.0,1700.0,107.0,4.3,993.1,-3.0,0.0,5,1.2,0
194,2013,3,9,1,96.0,103.0,53.0,50.0,1700.0,107.0,3.9,991.9,-2.5,0.0,5,0.0,0
195,2013,3,9,2,102.0,132.0,36.0,51.0,1800.0,107.0,3.0,991.2,-2.7,0.0,3,0.7,0
196,2013,3,9,3,107.0,128.0,28.0,43.0,1500.0,107.0,2.4,989.8,-2.9,0.0,6,1.2,0
197,2013,3,9,4,97.0,112.0,33.0,40.0,1399.0,107.0,1.9,988.9,-3.0,0.0,5,0.7,0
198,2013,3,9,5,104.0,123.0,51.0,73.0,1700.0,107.0,2.0,989.2,-3.3,0.0,5,0.5,0
199,2013,3,9,6,106.0,128.0,62.0,87.0,1700.0,107.0,1.8,989.0,-3.3,0.0,6,0.4,0
200,2013,3,9,7,104.0,131.0,65.0,83.0,1899.0,107.0,6.0,990.5,-2.1,0.0,4,2.4,0
201,2013,3,9,8,116.0,162.0,82.0,91.0,2200.0,107.0,14.2,992.3,-1.5,0.0,4,2.5,0
202,2013,3,9,9,142.0,366.0,86.0,63.0,1700.0,107.0,16.8,993.8,-2.3,0.0,6,6.2,0
203,2013,3,9,10,106.0,579.0,34.0,26.0,900.0,107.0,14.4,996.8,-7.1,0.0,1,7.8,0
204,2013,3,9,11,28.0,305.0,8.0,11.0,400.0,107.0,12.9,999.1,-11.6,0.0,4,5.6,0
205,2013,3,9,12,35.0,595.0,3.0,4.0,300.0,107.0,10.7,1001.8,-15.8,0.0,4,4.9,0
206,2013,3,9,13,20.0,438.0,3.0,4.0,300.0,107.0,9.6,1003.9,-18.5,0.0,3,6.0,0
207,2013,3,9,14,21.0,360.0,3.0,5.0,300.0,107.0,10.3,1005.2,-17.9,0.0,4,4.5,0
208,2013,3,9,15,22.0,260.0,4.0,7.0,300.0,97.0,10.3,1006.3,-17.9,0.0,4,5.6,0
209,2013,3,9,16,9.0,191.0,8.0,8.0,300.0,94.0,9.2,1008.0,-18.8,0.0,5,7.1,0
210,2013,3,9,17,13.0,196.0,3.0,7.0,300.0,94.0,7.7,1010.2,-20.0,0.0,3,5.1,0
211,2013,3,9,18,15.0,110.0,6.0,9.0,300.0,94.0,6.6,1013.1,-19.9,0.0,3,5.2,0
212,2013,3,9,19,13.0,83.0,17.0,13.0,400.0,94.0,5.7,1015.1,-19.8,0.0,5,3.3,0
213,2013,3,9,20,12.0,64.0,13.0,10.0,300.0,94.0,5.0,1017.0,-19.6,0.0,5,2.5,0
214,2013,3,9,21,8.0,55.0,18.0,12.0,300.0,94.0,4.8,1017.7,-19.7,0.0,5,3.3,0
215,2013,3,9,22,14.0,29.0,3.0,7.0,400.0,94.0,3.8,1018.1,-19.8,0.0,3,1.2,0
216,2013,3,9,23,8.0,22.0,3.0,8.0,400.0,94.0,3.4,1018.0,-20.1,0.0,4,1.1,0
217,2013,3,10,0,12.0,20.0,3.0,10.0,500.0,94.0,4.4,1017.8,-20.1,0.0,7,2.0,0
218,2013,3,10,1,13.0,19.0,7.0,14.0,500.0,94.0,4.9,1018.1,-20.4,0.0,7,3.0,0
219,2013,3,10,2,10.0,11.0,8.0,15.0,600.0,94.0,4.5,1017.9,-20.0,0.0,7,3.3,0
220,2013,3,10,3,3.0,7.0,9.0,24.0,800.0,94.0,4.1,1018.1,-20.3,0.0,7,2.5,0
221,2013,3,10,4,3.0,8.0,11.0,24.0,400.0,94.0,4.7,1018.6,-19.8,0.0,7,3.0,0
222,2013,3,10,5,3.0,14.0,19.0,19.0,300.0,94.0,4.3,1018.8,-20.1,0.0,7,3.3,0
223,2013,3,10,6,10.0,13.0,22.0,20.0,300.0,94.0,3.6,1018.9,-18.6,0.0,2,1.2,0
224,2013,3,10,7,12.0,18.0,27.0,43.0,500.0,94.0,5.7,1019.8,-19.0,0.0,14,3.3,0
225,2013,3,10,8,20.0,46.0,31.0,67.0,1100.0,94.0,8.0,1019.8,-18.8,0.0,7,2.8,0
